transaction_id,transaction_datetime,transaction_amount,merchant_category,transaction_type,entry_mode,transaction_city,transaction_state,transaction_country,currency_code,is_international,is_fraud,cardholder_age,cardholder_gender,is_online,approval_status,merchant_name,is_online_fraud,is_international_fraud,transaction_month,transaction_dayofweek,transaction_hour,transaction_type_idx,merchant_category_idx,entry_mode_idx,cluster_labels,predictions,df_pred
TXN000021,2023-09-27T19:01:06.000Z,15000.0,real_estate,transfer,manual,Los Angeles,CA,USA,USD,0,true,120,unknown,1,declined,LuxuryAuto,true,false,9,4,19,3.0,17.0,2.0,1,-1,1
TXN000065,2023-08-25T12:41:01.000Z,5.5,books,purchase,chip,Denver,CO,USA,USD,0,false,22,female,0,approved,EdgeCaseStore,false,false,8,6,12,0.0,1.0,1.0,0,1,0
TXN000178,2024-03-29T20:03:40.000Z,23.5,books,purchase,chip,Denver,CO,USA,USD,0,false,47,male,0,approved,EdgeCaseStore,false,false,3,6,20,0.0,1.0,1.0,0,1,0
TXN000188,2024-02-23T13:45:22.000Z,222.89,furniture,purchase,online,NA,NA,SGP,SGD,1,false,34,female,0,approved,FarmFresh,false,false,2,6,13,0.0,19.0,0.0,0,1,0
TXN000168,2022-10-15T16:37:45.000Z,3250.66,luxury_goods,purchase,manual,Geneva,NA,CHE,CHF,1,true,50,female,1,declined,CryptoExchange,true,true,10,7,16,0.0,15.0,2.0,3,-1,1
TXN000174,2022-05-27T05:01:44.000Z,60.75,furniture,purchase,chip,Houston,TX,USA,USD,0,false,28,female,1,approved,GiftWorld,false,false,5,6,5,0.0,19.0,1.0,0,1,0
TXN000259,2022-02-12T21:22:05.000Z,12.71,coffee_shop,purchase,contactless,San Francisco,CA,USA,USD,0,false,24,male,0,approved,LuxuryAuto,false,false,2,7,21,0.0,4.0,3.0,2,1,0
TXN000309,2023-07-01T02:52:29.000Z,24369.39,automobile,purchase,manual,Tokyo,NA,SGP,SGD,1,true,65,other,0,declined,ATMWithdrawal,false,true,7,7,2,0.0,21.0,2.0,3,-1,1
TXN000330,2023-05-29T22:05:44.000Z,74.36,clothing,purchase,chip,New York,NY,USA,USD,0,false,41,female,1,approved,SkyTravel,false,false,5,2,22,0.0,13.0,1.0,0,1,0
TXN000372,2023-11-13T16:46:32.000Z,18.17,furniture,purchase,chip,Houston,TX,USA,USD,0,false,28,female,0,approved,FuelExpress,false,false,11,2,16,0.0,19.0,1.0,2,1,0
