transaction_id,transaction_datetime,transaction_amount,merchant_category,transaction_type,entry_mode,transaction_city,transaction_state,transaction_country,currency_code,is_international,is_fraud,cardholder_age,cardholder_gender,is_online,approval_status,merchant_name
TXN000001,2022-01-14T09:37:21,37.18,grocery,purchase,chip,New York,NY,USA,USD,FALSE,FALSE,31,female,FALSE,approved,Sunshine Travel
TXN000002,2022-02-10T15:22:45,12.95,coffee_shop,purchase,contactless,San Francisco,CA,USA,USD,FALSE,FALSE,24,male,FALSE,approved,LuxuryAuto
TXN000003,2022-03-19T21:37:08,243.67,electronics,purchase,online,Chicago,IL,USA,USD,FALSE,FALSE,29,female,FALSE,approved,QuickMart
TXN000004,2022-04-07T18:11:43,5921,travel,purchase,online,London,,GBR,GBP,TRUE,TRUE,54,male,FALSE,declined,SkyTravel
TXN000005,2022-05-12T13:02:22,61.2,fast_food,purchase,contactless,Austin,TX,USA,USD,FALSE,FALSE,22,female,TRUE,approved,BookNest
TXN000006,2022-06-03T16:44:11,14.89,public_transport,purchase,contactless,Boston,MA,USA,USD,FALSE,FALSE,19,male,FALSE,approved,GiftWorld
TXN000007,2022-07-15T08:05:52,1100,jewelry,purchase,manual,Zurich,,CHE,CHF,TRUE,TRUE,38,female,TRUE,declined,CryptoExchange
TXN000008,2022-08-21T22:55:35,19.49,books,purchase,chip,Seattle,WA,USA,USD,FALSE,FALSE,29,female,TRUE,approved,ElectroZone
TXN000009,2022-09-30T11:26:00,256.71,electronics,purchase,online,Los Angeles,CA,USA,USD,FALSE,FALSE,33,male,FALSE,approved,LuxuryAuto
TXN000010,2022-10-18T17:45:16,8.15,coffee_shop,purchase,contactless,Houston,TX,USA,USD,FALSE,FALSE,26,female,FALSE,approved,FuelExpress
TXN000011,2022-11-05T10:12:29,47,fast_food,purchase,swipe,Atlanta,GA,USA,USD,FALSE,FALSE,21,male,FALSE,approved,ElectroZone
TXN000012,2022-12-25T13:35:08,25.99,books,purchase,chip,Philadelphia,PA,USA,USD,FALSE,FALSE,23,female,FALSE,approved,ElectroZone
TXN000013,2023-01-09T20:55:17,4000,luxury_goods,purchase,manual,Dubai,,ARE,AED,TRUE,TRUE,47,male,FALSE,declined,Sunshine Travel
TXN000014,2023-02-14T08:48:23,13.35,public_transport,purchase,contactless,Paris,,FRA,EUR,TRUE,FALSE,19,male,TRUE,approved,Sunshine Travel
TXN000015,2023-03-22T19:36:43,86.5,pharmacy,purchase,swipe,Miami,FL,USA,USD,FALSE,FALSE,62,female,TRUE,approved,ATMWithdrawal
TXN000016,2023-04-05T06:59:15,31.75,grocery,purchase,chip,Dallas,TX,USA,USD,FALSE,FALSE,47,female,TRUE,approved,FashionBay
TXN000017,2023-05-16T16:44:19,129.99,clothing,purchase,online,San Diego,CA,USA,USD,FALSE,FALSE,39,female,TRUE,approved,ElectroZone
TXN000018,2023-06-28T03:30:02,25000,automobile,purchase,manual,Tokyo,,JPN,JPY,TRUE,TRUE,66,other,FALSE,declined,ATM Network
TXN000019,2023-07-03T12:13:57,18.99,coffee_shop,purchase,online,Denver,CO,USA,USD,FALSE,FALSE,23,male,FALSE,approved,EdgeCaseStore
TXN000020,2023-08-13T15:23:47,990,electronics,purchase,online,Toronto,,CAN,CAD,TRUE,FALSE,31,female,FALSE,approved,SkyTravel
TXN000021,2023-09-27T19:01:06,15000,real_estate,transfer,manual,Los Angeles,CA,USA,USD,FALSE,TRUE,120,unknown,TRUE,declined,LuxuryAuto
TXN000022,2023-10-18T04:46:34,55.75,electronics,refund,chip,Chicago,IL,USA,USD,FALSE,FALSE,29,female,FALSE,approved,QuickMart
TXN000023,2023-11-11T09:44:20,32.99,grocery,purchase,chip,New York,NY,USA,USD,FALSE,FALSE,31,female,FALSE,approved,CryptoExchange
TXN000024,2023-12-29T23:32:18,75,pharmacy,purchase,swipe,Phoenix,AZ,USA,USD,FALSE,FALSE,52,male,FALSE,approved,FuelExpress
TXN000025,2024-01-23T16:18:53,19.99,fast_food,purchase,chip,Columbus,OH,USA,USD,FALSE,FALSE,31,male,FALSE,approved,GiftWorld
TXN000026,2024-02-07T12:32:01,3.5,coffee_shop,purchase,contactless,Denver,CO,USA,USD,FALSE,FALSE,23,male,FALSE,pending,EdgeCaseStore
TXN000027,2024-03-12T19:53:09,120,auto_services,payment,chip,Dallas,TX,USA,USD,FALSE,FALSE,47,female,TRUE,approved,ATM Network
TXN000028,2024-04-17T06:27:51,300000,luxury_goods,purchase,manual,Paris,,FRA,EUR,TRUE,TRUE,58,female,FALSE,declined,ElectroZone
TXN000029,2024-05-21T14:11:31,18,clothing,purchase,online,San Jose,CA,USA,USD,FALSE,FALSE,28,female,FALSE,approved,EdgeCaseStore
TXN000030,2024-06-15T12:09:18,700,travel,purchase,online,Osaka,,JPN,JPY,TRUE,FALSE,66,other,FALSE,approved,QuickMart
TXN000031,2024-07-19T20:10:13,25,books,purchase,chip,Charlotte,NC,USA,USD,FALSE,FALSE,34,female,TRUE,approved,LuxuryAuto
TXN000032,2024-08-22T11:23:37,9.99,coffee_shop,purchase,contactless,Los Angeles,CA,USA,USD,FALSE,FALSE,120,unknown,TRUE,approved,LuxuryAuto
TXN000033,2024-09-27T22:12:27,54.99,clothing,purchase,chip,Dallas,TX,USA,USD,FALSE,FALSE,43,male,FALSE,approved,FashionBay
TXN000034,2024-10-10T13:15:41,350,furniture,purchase,online,Seattle,WA,USA,USD,FALSE,FALSE,45,female,FALSE,approved,ElectroZone
TXN000035,2024-11-04T09:53:20,2000,jewelry,purchase,manual,Geneva,,CHE,CHF,TRUE,TRUE,61,male,FALSE,declined,CryptoExchange
TXN000036,2024-12-10T15:45:37,50,pharmacy,purchase,swipe,New York,NY,USA,USD,FALSE,FALSE,31,female,TRUE,approved,SkyTravel
TXN000037,2022-01-15T17:21:22,490,electronics,purchase,chip,Chicago,IL,USA,USD,FALSE,FALSE,41,female,TRUE,approved,QuickMart
TXN000038,2022-02-23T10:50:41,8.25,fast_food,purchase,contactless,Orlando,FL,USA,USD,FALSE,FALSE,62,female,FALSE,approved,ATM Withdrawal
TXN000039,2022-03-11T14:31:18,10.75,public_transport,purchase,contactless,London,,GBR,GBP,TRUE,FALSE,21,unknown,TRUE,approved,Sunshine Travel
TXN000040,2022-04-30T21:20:56,52.6,books,purchase,online,Paris,,FRA,EUR,TRUE,FALSE,27,female,TRUE,approved,FashionBay
TXN000041,2022-05-19T10:49:34,19.8,coffee_shop,purchase,contactless,Boston,MA,USA,USD,FALSE,FALSE,19,male,FALSE,approved,GiftWorld
TXN000042,2022-06-21T16:16:44,330,auto_services,payment,chip,Houston,TX,USA,USD,FALSE,FALSE,31,male,TRUE,approved,FarmFresh
TXN000043,2022-07-31T07:30:45,1700,luxury_goods,purchase,manual,Dubai,,ARE,AED,TRUE,TRUE,47,male,FALSE,declined,FashionBay
TXN000044,2022-08-22T19:18:28,11.5,books,purchase,chip,Los Angeles,CA,USA,USD,FALSE,FALSE,28,female,FALSE,pending,LuxuryAuto
TXN000045,2022-09-25T08:41:36,400,electronics,purchase,online,Berlin,,DEU,EUR,TRUE,FALSE,42,male,TRUE,approved,Sunshine Travel
TXN000046,2022-10-18T14:33:52,9.99,clothing,purchase,chip,Las Vegas,NV,USA,USD,FALSE,FALSE,37,male,FALSE,approved,FuelExpress
TXN000047,2022-11-27T20:41:18,85,charity,payment,online,,,CAN,CAD,TRUE,FALSE,51,other,FALSE,approved,SkyTravel
TXN000048,2022-12-03T01:45:12,17.45,coffee_shop,purchase,contactless,Phoenix,AZ,USA,USD,FALSE,FALSE,52,male,FALSE,approved,GiftWorld
TXN000049,2023-01-18T16:46:42,3.99,public_transport,purchase,contactless,Singapore,,SGP,SGD,TRUE,FALSE,22,female,TRUE,pending,QuickMart
TXN000050,2023-02-25T13:40:00,999999.99,real_estate,transfer,manual,San Francisco,CA,USA,USD,FALSE,TRUE,71,male,FALSE,declined,LuxuryAuto
TXN000051,2024-03-10T09:14:22,52.75,electronics,purchase,chip,Houston,TX,USA,USD,FALSE,FALSE,32,female,FALSE,pending,FarmFresh
TXN000052,2023-12-25T21:29:02,13.49,coffee_shop,purchase,contactless,Boston,MA,USA,USD,FALSE,FALSE,24,male,FALSE,approved,BookNest
TXN000053,2024-04-11T15:11:37,2500,jewelry,purchase,manual,Dubai,,ARE,AED,TRUE,TRUE,56,female,FALSE,declined,GiftWorld
TXN000054,2022-08-18T18:46:10,10,fast_food,purchase,contactless,Chicago,IL,USA,USD,FALSE,FALSE,28,male,FALSE,approved,QuickMart
TXN000055,2022-09-17T12:03:45,239.89,electronics,purchase,online,Dallas,TX,USA,USD,FALSE,FALSE,33,female,FALSE,approved,ElectroZone
TXN000056,2023-04-13T14:12:34,25.5,books,purchase,chip,San Francisco,CA,USA,USD,FALSE,FALSE,22,female,FALSE,approved,LuxuryAuto
TXN000057,2024-01-20T19:41:00,4300,luxury_goods,purchase,manual,Zurich,,CHE,CHF,TRUE,TRUE,62,other,FALSE,declined,CryptoExchange
TXN000058,2022-07-22T08:19:07,6.75,coffee_shop,purchase,online,Philadelphia,PA,USA,USD,FALSE,FALSE,26,female,FALSE,approved,GiftWorld
TXN000059,2023-03-30T10:55:56,72.35,grocery,purchase,chip,Los Angeles,CA,USA,USD,FALSE,FALSE,37,male,FALSE,approved,LuxuryAuto
TXN000060,2022-10-09T22:20:17,18000,real_estate,transfer,online,London,,GBR,GBP,TRUE,TRUE,65,male,FALSE,declined,SkyTravel
