transaction_id,transaction_datetime,transaction_amount,merchant_category,transaction_type,entry_mode,transaction_city,transaction_state,transaction_country,currency_code,is_international,is_fraud,cardholder_age,cardholder_gender,is_online,approval_status,merchant_name
TXN000001,2022-01-14T09:37:21,37.18,grocery,purchase,chip,New York,NY,USA,USD,False,False,31,female,False,approved,Sunshine Travel
TXN000002,2022-02-10T15:22:45,12.95,coffee_shop,purchase,contactless,San Francisco,CA,USA,USD,False,False,24,male,False,approved,LuxuryAuto
TXN000003,2022-03-19T21:37:08,243.67,electronics,purchase,online,Chicago,IL,USA,USD,False,False,29,female,False,approved,QuickMart
TXN000004,2022-04-07T18:11:43,5921.0,travel,purchase,online,London,,GBR,GBP,True,True,54,male,False,declined,SkyTravel
TXN000005,2022-05-12T13:02:22,61.2,fast_food,purchase,contactless,Austin,TX,USA,USD,False,False,22,female,True,approved,BookNest
TXN000006,2022-06-03T16:44:11,14.89,public_transport,purchase,contactless,Boston,MA,USA,USD,False,False,19,male,False,approved,GiftWorld
TXN000007,2022-07-15T08:05:52,1100.0,jewelry,purchase,manual,Zurich,,CHE,CHF,True,True,38,female,True,declined,CryptoExchange
TXN000008,2022-08-21T22:55:35,19.49,books,purchase,chip,Seattle,WA,USA,USD,False,False,29,female,True,approved,ElectroZone
TXN000009,2022-09-30T11:26:00,256.71,electronics,purchase,online,Los Angeles,CA,USA,USD,False,False,33,male,False,approved,LuxuryAuto
TXN000010,2022-10-18T17:45:16,8.15,coffee_shop,purchase,contactless,Houston,TX,USA,USD,False,False,26,female,False,approved,FuelExpress
TXN000011,2022-11-05T10:12:29,47.0,fast_food,purchase,swipe,Atlanta,GA,USA,USD,False,False,21,male,False,approved,ElectroZone
TXN000012,2022-12-25T13:35:08,25.99,books,purchase,chip,Philadelphia,PA,USA,USD,False,False,23,female,False,approved,ElectroZone
TXN000013,2023-01-09T20:55:17,4000.0,luxury_goods,purchase,manual,Dubai,,ARE,AED,True,True,47,male,False,declined,Sunshine Travel
TXN000014,2023-02-14T08:48:23,13.35,public_transport,purchase,contactless,Paris,,FRA,EUR,True,False,19,male,True,approved,Sunshine Travel
TXN000015,2023-03-22T19:36:43,86.5,pharmacy,purchase,swipe,Miami,FL,USA,USD,False,False,62,female,True,approved,ATMWithdrawal
TXN000016,2023-04-05T06:59:15,31.75,grocery,purchase,chip,Dallas,TX,USA,USD,False,False,47,female,True,approved,FashionBay
TXN000017,2023-05-16T16:44:19,129.99,clothing,purchase,online,San Diego,CA,USA,USD,False,False,39,female,True,approved,ElectroZone
TXN000018,2023-06-28T03:30:02,25000.0,automobile,purchase,manual,Tokyo,,JPN,JPY,True,True,66,other,False,declined,ATM Network
TXN000019,2023-07-03T12:13:57,18.99,coffee_shop,purchase,online,Denver,CO,USA,USD,False,False,23,male,False,approved,EdgeCaseStore
TXN000020,2023-08-13T15:23:47,990.0,electronics,purchase,online,Toronto,,CAN,CAD,True,False,31,female,False,approved,SkyTravel
TXN000021,2023-09-27T19:01:06,15000.0,real_estate,transfer,manual,Los Angeles,CA,USA,USD,False,True,120,unknown,True,declined,LuxuryAuto
TXN000022,2023-10-18T04:46:34,55.75,electronics,refund,chip,Chicago,IL,USA,USD,False,False,29,female,False,approved,QuickMart
TXN000023,2023-11-11T09:44:20,32.99,grocery,purchase,chip,New York,NY,USA,USD,False,False,31,female,False,approved,CryptoExchange
TXN000024,2023-12-29T23:32:18,75.0,pharmacy,purchase,swipe,Phoenix,AZ,USA,USD,False,False,52,male,False,approved,FuelExpress
TXN000025,2024-01-23T16:18:53,19.99,fast_food,purchase,chip,Columbus,OH,USA,USD,False,False,31,male,False,approved,GiftWorld
TXN000026,2024-02-07T12:32:01,3.5,coffee_shop,purchase,contactless,Denver,CO,USA,USD,False,False,23,male,False,pending,EdgeCaseStore
TXN000027,2024-03-12T19:53:09,120.0,auto_services,payment,chip,Dallas,TX,USA,USD,False,False,47,female,True,approved,ATM Network
TXN000028,2024-04-17T06:27:51,300000.0,luxury_goods,purchase,manual,Paris,,FRA,EUR,True,True,58,female,False,declined,ElectroZone
TXN000029,2024-05-21T14:11:31,18.0,clothing,purchase,online,San Jose,CA,USA,USD,False,False,28,female,False,approved,EdgeCaseStore
TXN000030,2024-06-15T12:09:18,700.0,travel,purchase,online,Osaka,,JPN,JPY,True,False,66,other,False,approved,QuickMart
TXN000031,2024-07-19T20:10:13,25.0,books,purchase,chip,Charlotte,NC,USA,USD,False,False,34,female,True,approved,LuxuryAuto
TXN000032,2024-08-22T11:23:37,9.99,coffee_shop,purchase,contactless,Los Angeles,CA,USA,USD,False,False,120,unknown,True,approved,LuxuryAuto
TXN000033,2024-09-27T22:12:27,54.99,clothing,purchase,chip,Dallas,TX,USA,USD,False,False,43,male,False,approved,FashionBay
TXN000034,2024-10-10T13:15:41,350.0,furniture,purchase,online,Seattle,WA,USA,USD,False,False,45,female,False,approved,ElectroZone
TXN000035,2024-11-04T09:53:20,2000.0,jewelry,purchase,manual,Geneva,,CHE,CHF,True,True,61,male,False,declined,CryptoExchange
TXN000036,2024-12-10T15:45:37,50.0,pharmacy,purchase,swipe,New York,NY,USA,USD,False,False,31,female,True,approved,SkyTravel
TXN000037,2022-01-15T17:21:22,490.0,electronics,purchase,chip,Chicago,IL,USA,USD,False,False,41,female,True,approved,QuickMart
TXN000038,2022-02-23T10:50:41,8.25,fast_food,purchase,contactless,Orlando,FL,USA,USD,False,False,62,female,False,approved,ATM Withdrawal
TXN000039,2022-03-11T14:31:18,10.75,public_transport,purchase,contactless,London,,GBR,GBP,True,False,21,unknown,True,approved,Sunshine Travel
TXN000040,2022-04-30T21:20:56,52.6,books,purchase,online,Paris,,FRA,EUR,True,False,27,female,True,approved,FashionBay
TXN000041,2022-05-19T10:49:34,19.8,coffee_shop,purchase,contactless,Boston,MA,USA,USD,False,False,19,male,False,approved,GiftWorld
TXN000042,2022-06-21T16:16:44,330.0,auto_services,payment,chip,Houston,TX,USA,USD,False,False,31,male,True,approved,FarmFresh
TXN000043,2022-07-31T07:30:45,1700.0,luxury_goods,purchase,manual,Dubai,,ARE,AED,True,True,47,male,False,declined,FashionBay
TXN000044,2022-08-22T19:18:28,11.5,books,purchase,chip,Los Angeles,CA,USA,USD,False,False,28,female,False,pending,LuxuryAuto
TXN000045,2022-09-25T08:41:36,400.0,electronics,purchase,online,Berlin,,DEU,EUR,True,False,42,male,True,approved,Sunshine Travel
TXN000046,2022-10-18T14:33:52,9.99,clothing,purchase,chip,Las Vegas,NV,USA,USD,False,False,37,male,False,approved,FuelExpress
TXN000047,2022-11-27T20:41:18,85.0,charity,payment,online,,,CAN,CAD,True,False,51,other,False,approved,SkyTravel
TXN000048,2022-12-03T01:45:12,17.45,coffee_shop,purchase,contactless,Phoenix,AZ,USA,USD,False,False,52,male,False,approved,GiftWorld
TXN000049,2023-01-18T16:46:42,3.99,public_transport,purchase,contactless,Singapore,,SGP,SGD,True,False,22,female,True,pending,QuickMart
TXN000050,2023-02-25T13:40:00,999999.99,real_estate,transfer,manual,San Francisco,CA,USA,USD,False,True,71,male,False,declined,LuxuryAuto
TXN000051,2024-03-10T09:14:22,52.75,electronics,purchase,chip,Houston,TX,USA,USD,False,False,32,female,False,pending,FarmFresh
TXN000052,2023-12-25T21:29:02,13.49,coffee_shop,purchase,contactless,Boston,MA,USA,USD,False,False,24,male,False,approved,BookNest
TXN000053,2024-04-11T15:11:37,2500.0,jewelry,purchase,manual,Dubai,,ARE,AED,True,True,56,female,False,declined,GiftWorld
TXN000054,2022-08-18T18:46:10,10.0,fast_food,purchase,contactless,Chicago,IL,USA,USD,False,False,28,male,False,approved,QuickMart
TXN000055,2022-09-17T12:03:45,239.89,electronics,purchase,online,Dallas,TX,USA,USD,False,False,33,female,False,approved,ElectroZone
TXN000056,2023-04-13T14:12:34,25.5,books,purchase,chip,San Francisco,CA,USA,USD,False,False,22,female,False,approved,LuxuryAuto
TXN000057,2024-01-20T19:41:00,4300.0,luxury_goods,purchase,manual,Zurich,,CHE,CHF,True,True,62,other,False,declined,CryptoExchange
TXN000058,2022-07-22T08:19:07,6.75,coffee_shop,purchase,online,Philadelphia,PA,USA,USD,False,False,26,female,False,approved,GiftWorld
TXN000059,2023-03-30T10:55:56,72.35,grocery,purchase,chip,Los Angeles,CA,USA,USD,False,False,37,male,False,approved,LuxuryAuto
TXN000060,2022-10-09T22:20:17,18000.0,real_estate,transfer,online,London,,GBR,GBP,True,True,65,male,False,declined,SkyTravel
TXN000061,2024-02-14T13:04:12,315.22,clothing,purchase,chip,Seattle,WA,USA,USD,False,False,32,female,True,approved,TinyCafe
TXN000062,2023-11-07T16:22:41,48.0,public_transport,purchase,contactless,New York,NY,USA,USD,False,False,23,female,True,approved,FashionBay
TXN000063,2023-05-18T12:33:51,312.6,furniture,purchase,online,Atlanta,GA,USA,USD,False,False,45,male,False,approved,ElectroZone
TXN000064,2022-12-02T07:15:58,8.99,fast_food,purchase,contactless,Austin,TX,USA,USD,False,False,21,male,False,pending,BookNest
TXN000065,2023-08-25T12:41:01,5.5,books,purchase,chip,Denver,CO,USA,USD,False,False,22,female,False,approved,EdgeCaseStore
TXN000066,2022-03-08T11:05:33,3700.0,travel,purchase,online,Paris,,FRA,EUR,True,True,54,female,True,declined,CryptoExchange
TXN000067,2024-01-09T20:35:00,11.65,coffee_shop,purchase,online,Miami,FL,USA,USD,False,False,26,female,False,approved,SkyTravel
